"Bohemian Rhapsody" is a song by which group?	https://www.wikidata.org/wiki/Q187745	Queen
'The Getaway' is an album from...	https://www.wikidata.org/wiki/Q24021025	Red Hot Chili Peppers
At what age did Michael Jackson die?	https://www.wikidata.org/wiki/Q2831	2009-06-25
AC/DC originated in what country?	https://www.wikidata.org/wiki/Q27593	Australia
Are Dieter Bohlen and Thomas Anders the only members of Modern Talking?	https://www.wikidata.org/wiki/Q27417	Yes
Are Skrillex and Diplo the full list of members that are part of Jack Ü?	https://www.wikidata.org/wiki/Q18153648	Yes
Ashin was the lead singer of which brand?	https://www.wikidata.org/wiki/Q704318	Mayday
By what stage name was Swedish DJ Tim Bergling known?	https://www.wikidata.org/entity/Q505476	Avicii
By who was Ella Fitzgerald influenced	https://www.wikidata.org/wiki/Q1768	Maxine Sullivan
Can you name the country where the music genre Jazz is originated	https://www.wikidata.org/wiki/Q8341	United States of America
Did Don Diablo or Fatboy Slim release the song Cutting Shapes	https://www.wikidata.org/wiki/Q30646076	Don Diablo
Did Louis Armstrong influence the Beatles	https://www.wikidata.org/wiki/Q1299	No
Did Ludwig van Beethoven influence the Beatles?	https://www.wikidata.org/wiki/Q1299	Yes
Did Mozart play on violin	https://www.wikidata.org/wiki/Q254	Yes
Do The Foals make indie rock?	https://www.wikidata.org/wiki/Q728958	yes
Does deadmau5 make house music?	https://www.wikidata.org/wiki/Q49009	Yes
Due to what did Amy Winehouse die	https://m.wikidata.org/wiki/Q3505252	drug overdose
During which year was the genre of noise music first introduced?	https://www.wikidata.org/wiki/Q726239	1910-01-01
Eminem has signed with which record labels?	https://www.wikidata.org/wiki/Q5608	Shady Records	Interscope Records	Aftermath Entertainment Rawkus Records	Web Entertainment	Bassmint Productions
For what award was Sara Bareilles nominated?	https://www.wikidata.org/wiki/Q230445	Tony Award for Best Original Score
From what country came the song 'Kalinka'	https://www.wikidata.org/wiki/Q382559	Russia
From where does AC/DC come from?	https://www.wikidata.org/wiki/Q27593	Australia
From which town is the Dutch band Chef'Special?	https://www.wikidata.org/wiki/Q13462155	Haarlem
From which album came the Dream Theater song A Change of Seasons?	https://www.wikidata.org/wiki/Q3508223	A Change of Seasons
From which album is Dancing Queen	https://www.wikidata.org/wiki/Q162392	Arrival
From which band is the song Bohemian Rapsody?	https://m.wikidata.org/wiki/Q15862	Queen
From who is the album Off the Wall?	https://m.wikidata.org/wiki/Q2831	Michael Jackson
From whom is the song Bohemian Rhapsody?	https://www.wikidata.org/wiki/Q187745	Queen
German musician Johannes Bach was born in what year?	https://www.wikidata.org/wiki/Q252919	1604-01-01
How tall is Roger Daltrey	https://www.wikidata.org/wiki/Q311672	66 inch
How can I find Robin Schulz on Twitter?	https://www.wikidata.org/wiki/Q16231940	robin_schulz
How did Beethoven die	https://www.wikidata.org/wiki/Q255	Intoxication
How did Bob Marley die	https://www.wikidata.org/wiki/Q409	Natural causes (melanoma)
How did Chester Bennington die?	https://www.wikidata.org/wiki/Q19198	Suicide
How did David Bowie Die?	https://www.wikidata.org/wiki/Q5383	liver cancer
How did Jimi Hendrix die?	https://www.wikidata.org/wiki/Q5928	barbiturate overdose
How did Kurt Cobain die?	http://www.wikidata.org/entity/Q8446	suicide
How did Mac Miller die?	https://www.wikidata.org/wiki/Q324726	Drug overdose
How did Prince die?	https://www.wikidata.org/wiki/Q7542	Drug overdose
How did Tony Barrow nickname the Beatles?	https://www.wikidata.org/wiki/Q1299	The Fab Four
How did Tupac Shakur die?	https://www.wikidata.org/wiki/Q6107	Homicide
How did Tupac Shakur died	https://www.wikidata.org/wiki/Q6107	Homicide
How did kurt cobain die?	https://www.wikidata.org/wiki/Q8446	Suicide
How do you call someone who plays the cello?	https://www.wikidata.org/wiki/Q8371	cellist
